"Year","Month","Country","Ah1n12009","Ah1","Ah3","Ah5","Ah7n9","A_no_subtype","Bvic","Byam","Bnotdetermined","Influenza_A","Influenza_B"
2009,"April","Northern Hemisphere",5034,1349,3431,6,0,2530,386,30,2532,12350,2948
2009,"April","Southern Hemisphere",1,9,47,0,0,13,0,0,2,70,2
2009,"August","Northern Hemisphere",40805,1340,8168,2,0,7422,62,67,468,57737,597
2009,"August","Southern Hemisphere",3844,39,121,0,0,201,0,0,65,4205,65
2009,"December","Northern Hemisphere",44016,203,633,2,0,2639,68,16,1393,47493,1477
2009,"December","Southern Hemisphere",234,0,1,0,0,6,0,0,0,241,0
2009,"February","Northern Hemisphere",6,5751,2975,2,0,8360,419,45,6402,17094,6866
2009,"February","Southern Hemisphere",0,7,39,0,0,15,0,0,2,61,2
2009,"January","Northern Hemisphere",0,5300,4668,1,0,5870,236,39,1596,15839,1871
2009,"January","Southern Hemisphere",0,0,7,0,0,22,0,0,0,29,0
2009,"July","Northern Hemisphere",34916,924,4462,2,0,4886,91,27,323,45190,441
2009,"July","Southern Hemisphere",8457,111,465,0,0,694,0,0,41,9727,41
2009,"June","Northern Hemisphere",41482,812,3399,4,0,11239,116,24,467,56936,607
2009,"June","Southern Hemisphere",10523,280,735,0,0,1135,0,0,9,12673,9
2009,"March","Northern Hemisphere",106,3019,2736,8,0,5591,681,42,7741,11460,8464
2009,"March","Southern Hemisphere",0,7,17,0,0,9,0,0,1,33,1
2009,"May","Northern Hemisphere",14367,1195,4432,9,0,5880,230,22,1428,25883,1680
2009,"May","Southern Hemisphere",645,33,268,0,0,88,0,0,6,1034,6
2009,"November","Northern Hemisphere",153558,651,1092,2,0,14008,7,45,594,169311,646
2009,"November","Southern Hemisphere",809,1,4,0,0,20,0,0,1,834,1
2009,"October","Northern Hemisphere",99985,587,1936,0,0,16278,8,54,572,118786,634
2009,"October","Southern Hemisphere",978,0,4,0,0,15,0,0,5,997,5
2009,"September","Northern Hemisphere",59097,1040,5421,2,0,12438,38,64,551,77998,653
2009,"September","Southern Hemisphere",807,8,6,0,0,45,0,0,22,866,22
2010,"April","Northern Hemisphere",1993,46,243,1,0,331,421,121,3967,2614,4509
2010,"April","Southern Hemisphere",168,0,108,0,0,23,4,0,84,299,88
2010,"August","Northern Hemisphere",3214,12,4749,2,0,1009,30,254,1060,8986,1344
2010,"August","Southern Hemisphere",1024,0,733,0,0,132,1,0,1020,1889,1021
2010,"December","Northern Hemisphere",8588,2,6180,5,0,6810,341,18,5741,21585,6100
2010,"December","Southern Hemisphere",105,0,416,0,0,98,9,0,99,619,108
2010,"February","Northern Hemisphere",6814,137,183,8,0,1107,438,150,4261,8249,4849
2010,"February","Southern Hemisphere",329,0,102,1,0,37,0,0,52,469,52
2010,"January","Northern Hemisphere",15191,106,352,3,0,1479,245,53,4864,17131,5162
2010,"January","Southern Hemisphere",407,0,22,0,0,76,6,0,15,505,21
2010,"July","Northern Hemisphere",1745,5,1181,1,0,255,63,191,890,3187,1144
2010,"July","Southern Hemisphere",532,0,207,0,0,122,6,0,564,861,570
2010,"June","Northern Hemisphere",1052,12,724,0,0,176,87,98,835,1964,1020
2010,"June","Southern Hemisphere",366,0,108,0,0,84,68,0,257,558,325
2010,"March","Northern Hemisphere",5303,54,212,6,0,950,1029,191,6817,6525,8037
2010,"March","Southern Hemisphere",595,0,139,0,0,38,3,0,78,772,81
2010,"May","Northern Hemisphere",1675,50,687,1,0,279,411,360,1860,2692,2631
2010,"May","Southern Hemisphere",169,0,102,0,0,48,25,0,129,319,154
2010,"November","Northern Hemisphere",1230,16,3792,2,0,1286,114,60,2347,6326,2521
2010,"November","Southern Hemisphere",84,0,468,0,0,397,6,0,223,949,229
2010,"October","Northern Hemisphere",652,10,3614,0,0,572,24,92,1020,4848,1136
2010,"October","Southern Hemisphere",192,0,532,0,0,835,0,0,334,1559,334
2010,"September","Northern Hemisphere",1224,11,5658,0,0,951,23,189,757,7844,969
2010,"September","Southern Hemisphere",440,0,1161,0,0,140,2,0,564,1741,566
2011,"April","Northern Hemisphere",1802,0,1064,5,0,748,571,74,2990,3619,3635
2011,"April","Southern Hemisphere",45,0,137,0,0,14,0,0,69,196,69
2011,"August","Northern Hemisphere",568,0,862,1,0,147,109,107,717,1578,933
2011,"August","Southern Hemisphere",949,0,880,0,0,368,0,0,421,2197,421
2011,"December","Northern Hemisphere",484,0,3295,2,0,665,448,165,2034,4446,2647
2011,"December","Southern Hemisphere",65,0,302,0,0,24,0,0,67,391,67
2011,"February","Northern Hemisphere",33569,0,8515,8,0,8851,1477,180,15260,50943,16917
2011,"February","Southern Hemisphere",117,0,288,0,0,90,0,0,82,495,82
2011,"January","Northern Hemisphere",40267,0,11882,5,0,15988,1425,98,17592,68142,19115
2011,"January","Southern Hemisphere",355,0,861,0,0,171,0,0,107,1387,107
2011,"July","Northern Hemisphere",562,0,805,2,0,113,91,71,407,1482,569
2011,"July","Southern Hemisphere",761,0,533,0,0,452,0,0,333,1746,333
2011,"June","Northern Hemisphere",401,0,407,3,0,70,93,38,375,881,506
2011,"June","Southern Hemisphere",838,0,323,0,0,102,0,0,198,1263,198
2011,"March","Northern Hemisphere",10321,0,3627,13,0,2938,1001,171,7445,16899,8617
2011,"March","Southern Hemisphere",43,0,211,0,0,22,0,0,86,276,86
2011,"May","Northern Hemisphere",510,0,291,5,0,196,250,57,1051,1002,1358
2011,"May","Southern Hemisphere",400,0,235,0,0,36,0,0,111,671,111
2011,"November","Northern Hemisphere",401,0,1437,3,0,455,109,159,999,2296,1267
2011,"November","Southern Hemisphere",117,0,194,0,0,37,0,0,143,348,143
2011,"October","Northern Hemisphere",1168,0,1519,1,0,368,48,102,1627,3056,1777
2011,"October","Southern Hemisphere",460,0,427,0,0,211,0,0,291,1098,291
2011,"September","Northern Hemisphere",340,0,999,0,0,163,29,58,1074,1502,1161
2011,"September","Southern Hemisphere",894,0,697,0,0,466,0,0,328,2057,328
2012,"April","Northern Hemisphere",1647,0,9215,3,0,3598,462,450,6263,14463,7175
2012,"April","Southern Hemisphere",143,0,206,0,0,45,14,3,262,394,279
2012,"August","Northern Hemisphere",444,0,2144,0,0,334,17,63,878,2922,958
2012,"August","Southern Hemisphere",356,0,1822,0,0,406,164,106,749,2584,1019
2012,"December","Northern Hemisphere",2401,0,22262,1,0,14368,145,401,8374,39032,8920
2012,"December","Southern Hemisphere",151,0,256,0,0,56,17,43,150,463,210
2012,"February","Northern Hemisphere",3176,0,15512,5,0,10055,4064,1655,7088,28748,12807
2012,"February","Southern Hemisphere",104,0,123,0,0,19,1,1,149,246,151
2012,"January","Northern Hemisphere",3693,0,11065,4,0,2563,2976,866,4040,17325,7882
2012,"January","Southern Hemisphere",109,0,272,0,0,18,0,0,95,399,95
2012,"July","Northern Hemisphere",385,0,3646,0,0,475,51,71,1020,4506,1142
2012,"July","Southern Hemisphere",751,0,3332,0,0,367,94,77,1040,4450,1211
2012,"June","Northern Hemisphere",314,0,2734,3,0,395,14,85,1231,3446,1330
2012,"June","Southern Hemisphere",977,0,1108,0,0,177,37,34,515,2262,586
2012,"March","Northern Hemisphere",3328,0,15959,4,0,9696,2562,1228,8608,28987,12398
2012,"March","Southern Hemisphere",188,0,184,0,0,34,4,0,277,406,281
2012,"May","Northern Hemisphere",465,0,4480,3,0,811,66,115,2102,5759,2283
2012,"May","Southern Hemisphere",369,0,345,0,0,35,18,10,205,749,233
2012,"November","Northern Hemisphere",632,0,4315,0,0,1933,97,97,2408,6880,2602
2012,"November","Southern Hemisphere",88,0,145,0,0,114,49,64,206,347,319
2012,"October","Northern Hemisphere",773,0,3140,0,0,404,51,36,1752,4317,1839
2012,"October","Southern Hemisphere",125,0,227,0,0,324,196,104,380,676,680
2012,"September","Northern Hemisphere",696,0,1342,0,0,185,53,40,1471,2223,1564
2012,"September","Southern Hemisphere",225,0,568,0,0,467,197,107,681,1260,985
2013,"April","Northern Hemisphere",4509,0,3304,4,0,2006,129,736,8908,9823,9773
2013,"April","Southern Hemisphere",732,0,329,0,0,34,13,12,304,1095,329
2013,"August","Northern Hemisphere",715,0,1465,3,0,241,19,39,403,2424,461
2013,"August","Southern Hemisphere",1425,0,858,0,0,587,51,44,822,2870,917
2013,"December","Northern Hemisphere",20163,0,7682,1,0,8913,166,1392,3940,36759,5498
2013,"December","Southern Hemisphere",108,0,202,0,0,11,26,25,122,321,173
2013,"February","Northern Hemisphere",17747,0,12313,4,0,12167,275,2043,17682,42231,20000
2013,"February","Southern Hemisphere",150,0,258,0,0,34,0,0,197,442,197
2013,"January","Northern Hemisphere",12910,0,22774,5,0,18286,243,1376,11344,53975,12963
2013,"January","Southern Hemisphere",157,0,380,0,0,8,6,8,228,545,242
2013,"July","Northern Hemisphere",1396,0,2190,1,0,273,32,35,474,3860,541
2013,"July","Southern Hemisphere",3541,0,1510,0,0,1052,38,60,1024,6103,1122
2013,"June","Northern Hemisphere",1382,0,1207,2,0,245,56,62,635,2836,753
2013,"June","Southern Hemisphere",3631,0,798,0,0,421,27,8,734,4850,769
2013,"March","Northern Hemisphere",9648,0,7392,2,0,5995,248,1488,15084,23037,16820
2013,"March","Southern Hemisphere",143,0,241,0,0,14,1,4,201,398,206
2013,"May","Northern Hemisphere",1733,0,876,1,0,385,94,176,1863,2995,2133
2013,"May","Southern Hemisphere",1548,0,292,2,0,126,5,10,423,1968,438
2013,"November","Northern Hemisphere",2687,0,2383,3,0,1295,44,418,1515,6368,1977
2013,"November","Southern Hemisphere",135,0,119,0,0,18,38,52,171,272,261
2013,"October","Northern Hemisphere",946,0,1590,3,0,680,56,165,841,3219,1062
2013,"October","Southern Hemisphere",325,0,284,0,0,133,39,62,371,742,472
2013,"September","Northern Hemisphere",868,0,2363,2,0,494,64,138,728,3727,930
2013,"September","Southern Hemisphere",864,0,817,0,0,507,50,56,990,2188,1096
2014,"April","Northern Hemisphere",2087,0,3447,0,0,2129,119,966,6168,7663,7253
2014,"April","Southern Hemisphere",95,0,235,0,0,23,0,7,135,353,142
2014,"August","Northern Hemisphere",111,0,4599,0,0,149,9,175,1058,4859,1242
2014,"August","Southern Hemisphere",1383,0,1332,0,0,839,18,159,523,3554,700
2014,"December","Northern Hemisphere",776,0,40769,21,0,37650,40,1249,3087,79216,4376
2014,"December","Southern Hemisphere",13,0,216,0,0,19,0,22,89,248,111
2014,"February","Northern Hemisphere",21528,0,8839,5,0,10208,442,2472,6026,40580,8940
2014,"February","Southern Hemisphere",65,0,291,0,0,24,0,1,121,380,122
2014,"January","Northern Hemisphere",33765,0,8785,2,0,12881,375,1489,5350,55433,7214
2014,"January","Southern Hemisphere",110,0,374,0,0,19,0,2,66,503,68
2014,"July","Northern Hemisphere",245,0,6121,0,0,194,35,252,869,6560,1156
2014,"July","Southern Hemisphere",1129,0,1793,0,0,655,12,93,342,3577,447
2014,"June","Northern Hemisphere",584,0,4787,1,0,374,28,441,1460,5746,1929
2014,"June","Southern Hemisphere",547,0,1721,1,0,376,7,61,196,2645,264
2014,"March","Northern Hemisphere",10618,0,8903,7,0,6655,450,2722,9868,26183,13040
2014,"March","Southern Hemisphere",145,0,221,0,0,13,0,2,197,379,199
2014,"May","Northern Hemisphere",829,0,2161,0,0,863,57,454,3183,3853,3694
2014,"May","Southern Hemisphere",174,0,603,0,0,120,0,7,102,897,109
2014,"November","Northern Hemisphere",228,0,8037,7,0,5241,27,294,1268,13513,1589
2014,"November","Southern Hemisphere",26,0,136,0,0,18,1,29,187,180,217
2014,"October","Northern Hemisphere",130,0,2633,0,0,1059,15,221,1248,3822,1484
2014,"October","Southern Hemisphere",80,0,194,0,0,42,2,56,228,316,286
2014,"September","Northern Hemisphere",134,0,3271,1,0,403,19,362,1312,3809,1693
2014,"September","Southern Hemisphere",637,0,896,0,0,428,11,139,556,1961,706
2015,"April","Northern Hemisphere",1660,0,2841,5,0,1065,122,2566,10056,5571,12744
2015,"April","Southern Hemisphere",75,0,224,0,0,9,1,27,125,308,153
2015,"August","Northern Hemisphere",541,0,5372,0,0,224,7,417,305,6137,729
2015,"August","Southern Hemisphere",683,0,1692,0,0,997,43,122,1997,3372,2162
2015,"December","Northern Hemisphere",7797,0,2180,0,0,2930,545,825,2030,12907,3400
2015,"December","Southern Hemisphere",156,0,48,0,0,11,17,5,123,215,145
2015,"February","Northern Hemisphere",6224,0,29656,49,0,29394,85,4169,16390,65323,20644
2015,"February","Southern Hemisphere",47,0,279,0,0,11,4,44,88,337,136
2015,"January","Northern Hemisphere",2941,0,43857,39,0,30082,86,3859,6432,76919,10377
2015,"January","Southern Hemisphere",23,0,234,0,0,12,5,44,80,269,129
2015,"July","Northern Hemisphere",541,0,6973,0,0,213,16,491,391,7727,898
2015,"July","Southern Hemisphere",368,0,1087,0,0,806,23,120,964,2261,1107
2015,"June","Northern Hemisphere",645,0,8515,4,0,899,33,979,1016,10063,2028
2015,"June","Southern Hemisphere",597,0,931,0,0,227,26,112,513,1755,651
2015,"March","Northern Hemisphere",7208,0,12400,38,0,9502,152,6078,25178,29148,31408
2015,"March","Southern Hemisphere",63,0,348,0,0,16,3,32,203,427,238
2015,"May","Northern Hemisphere",689,0,1820,0,0,461,74,1226,3310,2970,4610
2015,"May","Southern Hemisphere",209,0,476,0,0,24,4,45,187,709,236
2015,"November","Northern Hemisphere",3099,0,1560,0,1,1491,114,497,1064,6151,1675
2015,"November","Southern Hemisphere",166,0,150,0,0,30,82,20,188,346,290
2015,"October","Northern Hemisphere",1199,0,1403,1,0,676,38,295,533,3279,866
2015,"October","Southern Hemisphere",185,0,298,0,0,78,79,59,231,561,369
2015,"September","Northern Hemisphere",522,0,1870,0,0,305,13,245,259,2697,517
2015,"September","Southern Hemisphere",438,0,900,0,0,314,103,131,1162,1652,1396
2016,"April","Northern Hemisphere",6986,0,1517,0,1,8921,4932,1817,17171,17425,23920
2016,"April","Southern Hemisphere",2775,0,208,0,0,136,37,41,356,3119,434
2016,"August","Northern Hemisphere",327,0,2335,1,0,595,352,202,829,3258,1383
2016,"August","Southern Hemisphere",1096,0,1546,0,0,1096,292,58,680,3738,1030
2016,"December","Northern Hemisphere",739,0,31138,0,2,31099,392,237,2305,62978,2934
2016,"December","Southern Hemisphere",13,0,119,0,0,27,10,1,75,159,86
2016,"February","Northern Hemisphere",57110,0,8681,0,1,37249,8120,3581,25279,103041,36980
2016,"February","Southern Hemisphere",487,0,163,0,0,12,23,28,214,662,265
2016,"January","Northern Hemisphere",30707,0,6375,0,0,9020,2916,1788,5724,46102,10428
2016,"January","Southern Hemisphere",248,0,124,0,0,6,23,32,105,378,160
2016,"July","Northern Hemisphere",372,0,1263,0,0,216,310,246,846,1851,1402
2016,"July","Southern Hemisphere",1358,0,582,0,0,621,239,70,468,2561,777
2016,"June","Northern Hemisphere",1031,0,808,2,0,316,620,319,1277,2157,2216
2016,"June","Southern Hemisphere",3225,0,231,0,0,1094,249,37,549,4550,835
2016,"March","Northern Hemisphere",24925,0,3378,4,1,32823,11896,3061,29230,61131,44187
2016,"March","Southern Hemisphere",1956,0,184,0,0,45,40,58,210,2185,308
2016,"May","Northern Hemisphere",2155,0,1007,2,0,1844,2019,949,7593,5008,10561
2016,"May","Southern Hemisphere",4059,0,261,0,0,758,149,38,441,5078,628
2016,"November","Northern Hemisphere",377,0,11006,0,0,4206,286,108,1324,15589,1718
2016,"November","Southern Hemisphere",14,0,153,0,0,48,31,7,112,215,150
2016,"October","Northern Hemisphere",386,0,6638,0,0,1340,351,171,929,8364,1451
2016,"October","Southern Hemisphere",98,0,509,0,0,217,94,30,339,824,463
2016,"September","Northern Hemisphere",280,0,3576,0,0,661,201,75,559,4517,835
2016,"September","Southern Hemisphere",329,0,1118,0,0,689,170,35,491,2136,696
2017,"April","Northern Hemisphere",2925,0,3405,1,1,5308,1812,2089,13383,11640,17284
